BUY,343.0,343.83935922652165
SELL,344.65,343.4639642026168
BUY,351.2,352.6819681429703
SELL,352.0,351.33297940167927
BUY,350.7,351.23432777680335
SELL,352.1,351.48554931832575
BUY,353.4,353.7988967278336
SELL,355.0,353.5051607506607
BUY,350.6,353.3574776000675
BUY,351.25,353.8180263042782
SELL,352.55,351.60963669837656
BUY,351.2,351.91457665644526
SELL,356.4,351.3814886059682
BUY,350.15,352.51663415170765
BUY,325.15,325.7185682060622
SELL,325.95,325.54867520077
BUY,324.0,324.84646187329645
SELL,324.65,323.6379577758587
BUY,325.0,325.4089530679381
SELL,316.65,316.29447866838353
BUY,316.4,316.73130392320553
SELL,316.55,315.9002895324671
BUY,311.7,316.6439929346885
SELL,311.65,310.65754973176405
BUY,308.1,310.4821278786853
SELL,311.0,309.82904271350986
BUY,308.0,309.8083161453065
SELL,309.45,306.91902607167935
BUY,307.0,309.6252277800414
SELL,308.95,308.6242398959036
BUY,311.0,311.91516163789794
SELL,304.55,303.3117294169605
BUY,302.8,303.677239526087
SELL,303.95,303.00369339296026
BUY,303.95,304.7844240078906
SELL,305.05,304.63646237999757
BUY,304.05,304.530194755642
SELL,304.95,304.5701286967552
BUY,305.0,305.7005630140534
SELL,307.0,305.7323552611983
BUY,307.3,307.68408513764876
SELL,307.7,306.07713218285073
BUY,305.0,306.46684470132993
SELL,300.0,298.67033636001077
BUY,298.35,298.8290851415591
SELL,299.95,299.25410584584694
BUY,298.0,299.6995871910876
SELL,299.95,299.61389037449067
BUY,298.05,299.4382532453756
SELL,299.9,299.1296753104249
BUY,297.85,299.0779881950819
SELL,299.55,298.91334969081356
BUY,299.2,299.5668139243588
SELL,301.4,299.8445660694526
BUY,300.0,300.99533814630314
SELL,300.8,300.3479795435562
BUY,299.95,300.34902996072003
SELL,298.25,297.63828432577253
BUY,294.9,296.2518842280603
SELL,295.8,295.4169728631147
BUY,295.15,295.52236637373346
SELL,299.1,296.0105799937529
BUY,297.15,297.78741629721924
SELL,298.2,297.77610074399286
BUY,295.8,297.5881243149107
SELL,298.15,297.4068182959512
BUY,299.0,299.4274829622719
SELL,301.0,300.11360302463413
BUY,299.0,300.0340439404466
SELL,299.5,298.95844702070264
BUY,299.9,300.21824238717375
SELL,301.0,299.81173259873833
BUY,300.8,302.8926170609976
SELL,301.8,301.4698080714612
BUY,300.0,301.15760182897964
SELL,299.45,298.99962536035764
BUY,299.8,301.83693259112675
SELL,297.15,296.29359468383905
BUY,296.25,296.8584099986249
SELL,298.0,297.08248258905843
BUY,297.05,297.57194886835737
SELL,295.95,295.43266647395353
BUY,294.55,295.34870289449094
SELL,293.15,291.80422764909963
BUY,291.7,292.07814461203236
SELL,291.55,291.01869187858546
BUY,289.85,290.95366667848174
SELL,276.6,275.8875019553031
BUY,280.2,280.8417910178387
SELL,281.9,280.88329298725125
BUY,283.0,283.4492952015916
SELL,284.15,282.88872568556485
BUY,282.45,283.1140492861133
SELL,284.0,283.08654336851396
BUY,282.55,283.1191788221967
SELL,284.5,283.35170289413776
BUY,283.35,283.7276557080818
SELL,283.2,282.8957874911912
BUY,291.05,292.15918931423124
SELL,293.0,292.1348953554157
BUY,291.9,293.0345034456213
SELL,291.5,290.53955792003745
BUY,290.95,292.4689430157731
SELL,291.15,290.18982214500573
BUY,289.45,290.18245984482843
SELL,289.75,288.58134885384476
BUY,288.0,288.47600780601806
SELL,291.0,288.661136195944
BUY,293.0,294.3899547505694
BUY,285.7,287.62712703768915
SELL,288.2,286.4518587922331
BUY,286.0,286.5593490617479
SELL,286.7,279.77452252838907
BUY,287.05,287.48436256627
SELL,288.7,287.6845231269167
BUY,289.2,290.10277099987604
SELL,291.2,289.51918675157646
BUY,290.0,290.5934690368349
SELL,289.8,288.4321065694616
BUY,289.0,289.7773159333511
SELL,289.0,288.24580990783085
BUY,289.0,290.54045969854445
SELL,290.85,289.9757951992206
BUY,291.65,293.297485649807
SELL,291.15,290.8523578262118
BUY,290.75,291.12030107136115
SELL,292.0,290.8613714103021
BUY,289.0,291.46792457165066
SELL,286.8,286.4199581032224
BUY,294.8,295.84412826918617
SELL,296.95,295.61732053892365
BUY,295.6,296.15451188776126
SELL,297.0,296.2388543210029
BUY,296.45,296.9915894363721
SELL,298.75,297.1798897296981
BUY,296.55,297.27351465200013
SELL,297.65,297.1240843534772
BUY,295.0,296.9113502890375
SELL,292.0,291.695649239848
BUY,289.9,291.1315331880005
SELL,291.45,290.46065095413167
BUY,290.0,290.5239675018273
SELL,283.45,283.00164491489403
BUY,284.45,285.0146558698697
SELL,284.4,284.06363702065494
BUY,285.0,285.54404012570706
SELL,286.0,285.5326903854005
BUY,285.0,285.53530230869467
SELL,287.05,286.29285377640156
BUY,294.35,294.84868258500353
SELL,295.35,294.84327859282234
BUY,295.0,295.74072175543836
SELL,292.8,291.76355325427085
BUY,293.55,294.29451648406905
SELL,294.5,294.17380709436975
BUY,293.4,294.5258435014883
SELL,295.45,294.2479200108734
BUY,294.7,295.09334782276954
SELL,295.75,295.14884516660385
BUY,294.5,295.360376808301
SELL,296.0,294.68156288945625
BUY,294.15,294.8471746992915
SELL,296.5,293.2125859998076
BUY,298.1,298.4507940920535
SELL,299.3,298.4740570113348
BUY,298.1,299.05084279530195
SELL,301.0,299.0498524706925
BUY,300.05,300.60271319771016
SELL,300.75,300.44432621862114
BUY,300.0,300.36381382208526
SELL,300.7,300.39579350602764
BUY,300.0,300.56371596401465
SELL,303.85,300.9278364625169
BUY,312.0,312.46817584816034
SELL,312.85,312.46400642637866
